regime_id,n_bars,start,end,duration_days,avg_return,cum_return
163,3,2020-08-25 00:00:00+00:00,2020-08-27 00:00:00+00:00,3,0.005247807144585763,0.015516261457275915
164,2,2020-08-28 00:00:00+00:00,2020-08-29 00:00:00+00:00,2,0.007348652786121179,0.014642408490361802
165,3,2020-08-30 00:00:00+00:00,2020-09-01 00:00:00+00:00,3,-0.008102589762558768,-0.02540065286201343
166,13,2020-09-02 00:00:00+00:00,2020-09-14 00:00:00+00:00,13,-0.0036815535479825393,-0.05406328877705757
167,6,2020-09-15 00:00:00+00:00,2020-09-20 00:00:00+00:00,6,-0.0050306664601743045,-0.030998569040330826
168,3,2020-09-21 00:00:00+00:00,2020-09-23 00:00:00+00:00,3,0.009900981332302031,0.02846516909348451
169,2,2020-09-24 00:00:00+00:00,2020-09-25 00:00:00+00:00,2,-0.00041750084698410905,-0.0008689534547637878
170,2,2020-09-26 00:00:00+00:00,2020-09-27 00:00:00+00:00,2,-0.0019031513087832685,-0.0038202092511013808
171,3,2020-09-28 00:00:00+00:00,2020-09-30 00:00:00+00:00,3,-0.002748485853255674,-0.008422310719771287
172,4,2020-10-01 00:00:00+00:00,2020-10-04 00:00:00+00:00,4,0.004096216681703874,0.016374671004618868
173,3,2020-10-05 00:00:00+00:00,2020-10-07 00:00:00+00:00,3,0.0039029089284472094,0.011335694048367095
174,63,2020-10-08 00:00:00+00:00,2020-12-09 00:00:00+00:00,63,0.008654783356459438,0.6732785559135515
175,2,2020-12-10 00:00:00+00:00,2020-12-11 00:00:00+00:00,2,0.014978636088009867,0.02949194059235727
176,40,2020-12-12 00:00:00+00:00,2021-01-20 00:00:00+00:00,40,0.013630700525636762,0.6393457443923147
177,7,2021-01-21 00:00:00+00:00,2021-01-27 00:00:00+00:00,7,0.013134885949639232,0.08565580019269614
178,3,2021-01-28 00:00:00+00:00,2021-01-30 00:00:00+00:00,3,-0.003222135285624613,-0.01051033732642881
179,25,2021-01-31 00:00:00+00:00,2021-02-24 00:00:00+00:00,25,0.015593520124562183,0.42215793993904804
180,4,2021-02-25 00:00:00+00:00,2021-02-28 00:00:00+00:00,4,0.014381176920788052,0.05387943436351028
181,21,2021-03-01 00:00:00+00:00,2021-03-21 00:00:00+00:00,21,0.005063529347908261,0.09868602920257441
182,4,2021-03-22 00:00:00+00:00,2021-03-25 00:00:00+00:00,4,0.003519608125499507,0.011152933797794251
183,12,2021-03-26 00:00:00+00:00,2021-04-06 00:00:00+00:00,12,0.00155922185142864,0.016533813492170646
184,11,2021-04-07 00:00:00+00:00,2021-04-17 00:00:00+00:00,11,0.0008435724384455219,0.002983999340576249
185,12,2021-04-18 00:00:00+00:00,2021-04-29 00:00:00+00:00,12,0.0031435947941985767,0.027287334840728095
186,4,2021-04-30 00:00:00+00:00,2021-05-03 00:00:00+00:00,4,-0.01922484292814411,-0.07647837634445476
187,6,2021-05-04 00:00:00+00:00,2021-05-09 00:00:00+00:00,6,0.008432937325652331,0.04736719145213342
188,2,2021-05-10 00:00:00+00:00,2021-05-11 00:00:00+00:00,2,-0.05904722061506534,-0.12010909455458141
189,32,2021-05-12 00:00:00+00:00,2021-06-12 00:00:00+00:00,32,-0.005403565975370374,-0.2045282115981255
190,3,2021-06-13 00:00:00+00:00,2021-06-15 00:00:00+00:00,3,-0.005877153971290923,-0.019203097049301565
191,13,2021-06-16 00:00:00+00:00,2021-06-28 00:00:00+00:00,13,-0.0037566726223494575,-0.0646537179121427
192,5,2021-06-29 00:00:00+00:00,2021-07-03 00:00:00+00:00,5,-0.0029339319624797078,-0.01617050177067003
193,19,2021-07-04 00:00:00+00:00,2021-07-22 00:00:00+00:00,19,-0.0021821720477164124,-0.048351865716686926
194,46,2021-07-23 00:00:00+00:00,2021-09-06 00:00:00+00:00,46,0.007871323811816483,0.3939538228580872
195,8,2021-09-07 00:00:00+00:00,2021-09-14 00:00:00+00:00,8,0.003908729095650917,0.02916443162128335
196,4,2021-09-15 00:00:00+00:00,2021-09-18 00:00:00+00:00,4,-0.004664038494330308,-0.019016177024618774
197,12,2021-09-19 00:00:00+00:00,2021-09-30 00:00:00+00:00,12,0.0028866803716814473,0.018127719253105745
198,26,2021-10-01 00:00:00+00:00,2021-10-26 00:00:00+00:00,26,0.008056118064334086,0.21542205302332196
199,20,2021-10-27 00:00:00+00:00,2021-11-15 00:00:00+00:00,20,0.0017763950865990086,0.02870710311257807
200,37,2021-11-16 00:00:00+00:00,2021-12-22 00:00:00+00:00,37,-0.003987117181678348,-0.1558596272517615
